,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,param_learning_rate,param_mutation_rates,param_pop_size,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
0,124.91588997840881,0.7305600643157959,0.039704203605651855,0.003195643424987793,relu,"[500, 500, 10]",0.1,0.2,10,"{'activation': <function relu at 0x7f9d02a795a0>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 0.1, 'mutation_rates': 0.2, 'pop_size': 10}",0.3873202685660351,0.23553094363038893,0.311425606098212,0.07589466246782307,41,0.4112527615595839,0.2414783822584611,0.3263655719090225,0.0848871896505614
1,246.68672788143158,0.6036499738693237,0.03657674789428711,0.0001926422119140625,relu,"[500, 500, 10]",0.1,0.2,20,"{'activation': <function relu at 0x7f9d02a795a0>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 0.1, 'mutation_rates': 0.2, 'pop_size': 20}",0.4511236218625382,0.46873848353570674,0.4599310526991225,0.008807430836584279,1,0.4627739424735829,0.5013089184505838,0.48204143046208336,0.019267487988500448
2,372.4101656675339,0.7143465280532837,0.04008615016937256,0.004054427146911621,relu,"[500, 500, 10]",0.1,0.2,30,"{'activation': <function relu at 0x7f9d02a795a0>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 0.1, 'mutation_rates': 0.2, 'pop_size': 30}",0.44175016608624235,0.45397668009529196,0.44786342309076715,0.006113257004524808,9,0.4586888070754962,0.450011498401041,0.4543501527382686,0.004338654337227604
3,130.8009877204895,0.4493446350097656,0.03914964199066162,0.006670594215393066,relu,"[500, 500, 10]",0.1,0.4,10,"{'activation': <function relu at 0x7f9d02a795a0>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 0.1, 'mutation_rates': 0.4, 'pop_size': 10}",0.3873202685660351,0.23553094363038893,0.311425606098212,0.07589466246782307,41,0.4112527615595839,0.2414783822584611,0.3263655719090225,0.0848871896505614
4,255.54477047920227,0.0913841724395752,0.047170042991638184,0.0008455514907836914,relu,"[500, 500, 10]",0.1,0.4,20,"{'activation': <function relu at 0x7f9d02a795a0>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 0.1, 'mutation_rates': 0.4, 'pop_size': 20}",0.4511236218625382,0.46873848353570674,0.4599310526991225,0.008807430836584279,1,0.4627739424735829,0.5013089184505838,0.48204143046208336,0.019267487988500448
5,369.5215779542923,0.3351477384567261,0.04355466365814209,0.007688164710998535,relu,"[500, 500, 10]",0.1,0.4,30,"{'activation': <function relu at 0x7f9d02a795a0>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 0.1, 'mutation_rates': 0.4, 'pop_size': 30}",0.44175016608624235,0.45397668009529196,0.44786342309076715,0.006113257004524808,9,0.4586888070754962,0.450011498401041,0.4543501527382686,0.004338654337227604
6,131.33952367305756,0.3075157403945923,0.046784043312072754,0.0006791353225708008,relu,"[500, 500, 10]",1.0,0.2,10,"{'activation': <function relu at 0x7f9d02a795a0>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 1, 'mutation_rates': 0.2, 'pop_size': 10}",0.3873202685660351,0.23553094363038893,0.311425606098212,0.07589466246782307,41,0.4112527615595839,0.2414783822584611,0.3263655719090225,0.0848871896505614
7,254.87337791919708,0.6046992540359497,0.0365222692489624,0.0002580881118774414,relu,"[500, 500, 10]",1.0,0.2,20,"{'activation': <function relu at 0x7f9d02a795a0>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 1, 'mutation_rates': 0.2, 'pop_size': 20}",0.4511236218625382,0.46873848353570674,0.4599310526991225,0.008807430836584279,1,0.4627739424735829,0.5013089184505838,0.48204143046208336,0.019267487988500448
8,371.78061962127686,0.4452652931213379,0.04015243053436279,0.006553292274475098,relu,"[500, 500, 10]",1.0,0.2,30,"{'activation': <function relu at 0x7f9d02a795a0>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 1, 'mutation_rates': 0.2, 'pop_size': 30}",0.44175016608624235,0.45397668009529196,0.44786342309076715,0.006113257004524808,9,0.4586888070754962,0.450011498401041,0.4543501527382686,0.004338654337227604
9,131.0266637802124,0.06301689147949219,0.04466903209686279,0.00013744831085205078,relu,"[500, 500, 10]",1.0,0.4,10,"{'activation': <function relu at 0x7f9d02a795a0>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 1, 'mutation_rates': 0.4, 'pop_size': 10}",0.3873202685660351,0.23553094363038893,0.311425606098212,0.07589466246782307,41,0.4112527615595839,0.2414783822584611,0.3263655719090225,0.0848871896505614
10,254.44262564182281,0.6661208868026733,0.04138827323913574,0.004247426986694336,relu,"[500, 500, 10]",1.0,0.4,20,"{'activation': <function relu at 0x7f9d02a795a0>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 1, 'mutation_rates': 0.4, 'pop_size': 20}",0.4511236218625382,0.46873848353570674,0.4599310526991225,0.008807430836584279,1,0.4627739424735829,0.5013089184505838,0.48204143046208336,0.019267487988500448
11,369.929998755455,0.7713772058486938,0.0330510139465332,0.0002856254577636719,relu,"[500, 500, 10]",1.0,0.4,30,"{'activation': <function relu at 0x7f9d02a795a0>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 1, 'mutation_rates': 0.4, 'pop_size': 30}",0.44175016608624235,0.45397668009529196,0.44786342309076715,0.006113257004524808,9,0.4586888070754962,0.450011498401041,0.4543501527382686,0.004338654337227604
12,131.64014279842377,0.04022181034088135,0.04491841793060303,0.0007663965225219727,relu,"[500, 500, 10]",10.0,0.2,10,"{'activation': <function relu at 0x7f9d02a795a0>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 10, 'mutation_rates': 0.2, 'pop_size': 10}",0.3873202685660351,0.23553094363038893,0.311425606098212,0.07589466246782307,41,0.4112527615595839,0.2414783822584611,0.3263655719090225,0.0848871896505614
