,Iteration,Time,Fitness,FEvals,max_iters,learning_rate,algorithm,activation,bias,early_stopping,clip_max,hidden_layer_sizes,learning_rate_init,max_attempts,current_restart
0,0,0.17530185799842,30.2023497057082,1,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
1,1,0.737420687000849,30.2023497057082,2,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
2,2,1.3473924860009,30.2023166582611,4,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
3,3,1.98085038099816,30.1955376509466,6,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
4,4,2.11196806699809,30.1954584794861,8,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
5,5,2.72771153299982,30.1953625614846,10,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
6,6,2.79368073200021,30.1953625614846,11,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
7,7,2.85977899899808,30.1953625614846,12,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
8,8,2.99057464399812,30.1953623427803,14,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
9,9,3.55450594099966,30.1953623427803,15,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
10,10,3.62030919500103,30.1953623427803,16,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
11,11,3.75126023800112,30.1951591692224,18,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
12,12,3.88210938200064,30.1932778102814,20,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
13,13,3.94801041499886,30.1932778102814,21,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
14,14,4.07712985399849,30.192561500053,23,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
15,15,4.20681298599811,30.1911792790173,25,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
16,16,4.33549381699777,30.1911792789157,27,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
17,17,4.95224964199952,30.1908192141661,29,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
18,18,5.03459027999998,30.1908192141661,30,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
19,19,5.10730907299876,30.1908192141661,31,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
20,20,5.23840790199756,30.1856398075444,33,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
21,21,5.30407084399849,30.1856398075444,34,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
22,22,5.36972617399806,30.1856398075444,35,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
23,23,5.43540622699948,30.1856398075444,36,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
24,24,5.50116310700105,30.1856398075444,37,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
25,25,5.63161045000015,30.1843649993111,39,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
26,26,5.69703935199868,30.1843649993111,40,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
27,27,5.82638221500019,30.1842448207429,42,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
28,28,5.89195603899861,30.1842448207429,43,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
29,29,5.95735176599919,30.1842448207429,44,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
30,30,6.02322933300093,30.1842448207429,45,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
31,31,6.15397057099835,30.1841563023773,47,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
32,32,6.22075154299819,30.1841563023773,48,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
33,33,6.84836094400089,30.1838612311212,50,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
34,34,6.98300334300075,30.18118278684,52,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
35,35,7.04933055199945,30.18118278684,53,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
36,36,7.11575148799966,30.18118278684,54,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
37,37,7.25109139900087,30.1794060146928,56,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
38,38,7.31981670000096,30.1794060146928,57,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
39,39,7.38820864599984,30.1794060146928,58,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
40,40,7.52411434600072,30.1778361811116,60,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
41,41,7.66150446599932,30.1778132007604,62,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
42,42,7.79727523099791,30.1776452176421,64,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
43,43,7.8662522429986,30.1776452176421,65,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
44,44,7.93514600399794,30.1776452176421,66,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
45,45,8.07208215100036,30.1716109529212,68,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
46,46,8.1413054959994,30.1716109529212,69,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
47,47,8.23025087600036,30.1716109529212,70,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
48,48,8.37121096600095,30.17159277228,72,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
49,49,8.44001435099926,30.17159277228,73,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
50,50,8.50909549700009,30.17159277228,74,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
51,51,8.57826506399942,30.17159277228,75,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
52,52,8.64741856600085,30.17159277228,76,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
53,53,8.71659721199831,30.17159277228,77,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
54,54,8.85277382799904,30.164528872542,79,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
55,55,8.98861925500023,30.1645277228893,81,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
56,56,9.12536438399911,30.1628872917117,83,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
57,57,9.19459736700082,30.1628872917117,84,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
58,58,9.26344552099909,30.1628872917117,85,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
59,59,9.33251290800035,30.1628872917117,86,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
60,60,9.47197740399861,30.1617910204729,88,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
61,61,9.54080215999784,30.1617910204729,89,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
62,62,9.67726610599857,30.161459285521,91,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
63,63,9.83202228400114,30.160655399931,93,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
64,64,9.97781152500102,30.1605304237206,95,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
65,65,10.5398142070007,30.1605304237206,96,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
66,66,10.6058717560009,30.1605304237206,97,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
67,67,10.7367690909996,30.1604235313507,99,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
68,68,10.869854782999,30.1598962863071,101,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
69,69,10.93825965,30.1598962863071,102,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
70,70,11.0739514230008,30.1592455436615,104,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
71,71,11.2100349409993,30.1592455436285,106,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
72,72,11.3463981050008,30.1414575984078,108,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
73,73,11.5006143350001,30.1403240489021,110,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
74,74,11.5719000419995,30.1403240489021,111,500,0.1,rhc,relu,True,True,5,"[500, 500, 10]",0.1,500,0
