,Iteration,Time,Fitness,FEvals,max_iters,learning_rate,schedule,algorithm,activation,bias,early_stopping,clip_max,hidden_layer_sizes,learning_rate_init,max_attempts
0,0,0.166881233999447,30.0427888382974,2,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
1,1,0.784795027000655,30.0427888382974,4,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
2,2,1.3865438899993,30.034429935498,6,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
3,3,1.9864274119991,30.034725298814,8,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
4,4,2.11584903199946,30.0346952013267,10,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
5,5,2.72021613099969,30.0349683442797,12,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
6,6,2.85438253599932,30.0349542234704,14,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
7,7,2.99383563099946,30.0388214349103,16,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
8,8,3.15652613599923,30.0386660565143,18,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
9,9,3.77512598700014,30.0385363646555,20,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
10,10,3.91049402399949,30.0386596399276,22,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
11,11,4.05061110699899,30.0370545728194,24,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
12,12,4.18980264399943,30.0370383227773,26,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
13,13,4.32918945900019,30.0371363420187,28,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
14,14,4.46945453700027,30.0376680010075,30,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
15,15,4.6142047279991,30.0373464444824,32,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
16,16,4.77658087499913,30.0373959955065,34,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
17,17,5.39817415300058,30.037396185249,36,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
18,18,5.53467425899908,30.035182852832,38,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
19,19,5.67566632200033,30.0373098148414,40,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
20,20,5.81488055800037,30.0367880312247,42,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
21,21,5.95429028100079,30.0366167310074,44,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
22,22,6.09630336500049,30.0366167310074,46,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
23,23,6.23835192799925,30.0363098531539,48,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
24,24,6.41002348499933,30.0382956919217,50,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
25,25,6.55241727800058,30.0375971211175,52,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
26,26,6.69561795499976,30.0334419343164,54,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
27,27,6.83818858700033,30.0339552892606,56,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
28,28,6.98056498900041,30.0318650389199,58,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
29,29,7.12327425699914,30.0314830290368,60,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
30,30,7.26522895299968,30.0315136325054,62,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
31,31,7.40788129999964,30.0307990209581,64,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
32,32,7.55040660499981,30.0310223977214,66,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
33,33,8.17581961199903,30.0343565528037,68,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
34,34,8.31575503599925,30.026747520108,70,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
35,35,8.45723899699988,30.026912222017,72,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
36,36,8.59725955800059,30.0274985721285,74,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
37,37,8.73723255699952,30.0268488290474,76,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
38,38,8.8799187780005,30.0270487042025,78,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
39,39,9.02211470799921,30.0270033267732,80,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
