,Iteration,Fitness,FEvals,Time,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,max_iters,learning_rate,schedule,algorithm,activation,bias,early_stopping,clip_max,hidden_layer_sizes,learning_rate_init,max_attempts
0,0,30.0400885986546,2,0.166881233999447,arithmetic,1,0.0001,0.001,0.9999833118766,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
1,1,30.0427888382974,4,0.784795027000655,arithmetic,1,0.0001,0.001,0.9999215204973,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
2,2,30.034429935498,6,1.3865438899993,arithmetic,1,0.0001,0.001,0.999861345611,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
3,4,30.0346952013267,10,2.11584903199946,arithmetic,1,0.0001,0.001,0.9997884150968,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
4,8,30.0386660565143,18,3.15652613599923,arithmetic,1,0.0001,0.001,0.9996843473864,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
5,16,30.0373959955065,34,4.77658087499913,arithmetic,1,0.0001,0.001,0.9995223419125,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
6,32,30.0310223977214,66,7.55040660499981,arithmetic,1,0.0001,0.001,0.9992449593395,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
7,64,29.9418371848533,130,12.6493740839996,arithmetic,1,0.0001,0.001,0.9987350625916,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
8,128,29.9464029661761,258,22.4525863849995,arithmetic,1,0.0001,0.001,0.9977547413615,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
9,256,30.0866456811303,514,41.8356149350002,arithmetic,1,0.0001,0.001,0.9958164385065,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
10,512,30.1454257883813,1002,78.5039034189995,arithmetic,1,0.0001,0.001,0.9921496096581,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
