,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,0.0,150,0.006510945997433737,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]",150,0.4,8192
1,1,61.0,302,0.019948258996009827,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",150,0.4,8192
2,2,61.0,453,0.03554333999636583,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",150,0.4,8192
3,4,61.0,755,0.06430935600656085,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",150,0.4,8192
4,8,61.0,1359,0.11329482798464596,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",150,0.4,8192
5,16,61.0,2567,0.21489950898103416,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",150,0.4,8192
6,32,61.0,4983,0.39533885699347593,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",150,0.4,8192
7,64,61.0,9815,0.7551845900015905,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",150,0.4,8192
8,128,61.0,19479,1.4712116589944344,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",150,0.4,8192
9,256,61.0,38807,2.9182492700056173,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",150,0.4,8192
10,512,61.0,75802,5.7279899819986895,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",150,0.4,8192
11,1024,61.0,75802,5.7279899819986895,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",150,0.4,8192
12,2048,61.0,75802,5.7279899819986895,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",150,0.4,8192
13,4096,61.0,75802,5.7279899819986895,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",150,0.4,8192
14,8192,61.0,75802,5.7279899819986895,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",150,0.4,8192
15,0,0.0,150,0.004370989016024396,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]",150,0.5,8192
16,1,59.0,302,0.017701164004392922,"[0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",150,0.5,8192
17,2,61.0,454,0.03125434502726421,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",150,0.5,8192
18,4,61.0,756,0.05625643802341074,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",150,0.5,8192
19,8,61.0,1360,0.10419393199845217,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",150,0.5,8192
20,16,61.0,2568,0.1966972980007995,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",150,0.5,8192
21,32,61.0,4984,0.3805790860205889,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",150,0.5,8192
22,64,61.0,9816,0.7454879420110956,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",150,0.5,8192
23,128,61.0,19480,1.4801675620255992,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",150,0.5,8192
24,256,61.0,38808,2.941205342998728,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",150,0.5,8192
25,512,61.0,75954,5.7520761680207215,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",150,0.5,8192
26,1024,61.0,75954,5.7520761680207215,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",150,0.5,8192
27,2048,61.0,75954,5.7520761680207215,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",150,0.5,8192
28,4096,61.0,75954,5.7520761680207215,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",150,0.5,8192
29,8192,61.0,75954,5.7520761680207215,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",150,0.5,8192
30,0,0.0,150,0.00434654499986209,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]",150,0.6,8192
31,1,59.0,302,0.018585643003461882,"[0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",150,0.6,8192
32,2,59.0,453,0.0329269909998402,"[0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",150,0.6,8192
33,4,61.0,756,0.05896952000330202,"[0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",150,0.6,8192
