,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,0.00015777299995534122,0.0,0.0,0,8192,0
1,1,0.001623267016839236,0.0,1.0,0,8192,0
2,2,0.002891456999350339,0.0,2.0,0,8192,0
3,3,0.004084985994268209,0.0,3.0,0,8192,0
4,4,0.004144072998315096,0.0,4.0,0,8192,0
5,5,0.0053748970094602555,0.0,5.0,0,8192,0
6,6,0.0054331459978129715,0.0,6.0,0,8192,0
7,7,0.0054870640160515904,0.0,7.0,0,8192,0
8,8,0.005538607016205788,0.0,8.0,0,8192,0
9,9,0.00682076599332504,0.0,9.0,0,8192,0
10,10,0.0068770580110140145,0.0,10.0,0,8192,0
11,11,0.006927554000867531,0.0,11.0,0,8192,0
12,12,0.006977142009418458,0.0,12.0,0,8192,0
13,13,0.007027846993878484,0.0,13.0,0,8192,0
14,14,0.007076945999870077,0.0,14.0,0,8192,0
15,15,0.007128489000024274,0.0,15.0,0,8192,0
16,16,0.007181360007962212,0.0,16.0,0,8192,0
17,17,0.008430832007434219,0.0,17.0,0,8192,0
18,18,0.00848377202055417,0.0,18.0,0,8192,0
19,19,0.008532033010851592,0.0,19.0,0,8192,0
20,20,0.008585322997532785,0.0,20.0,0,8192,0
21,21,0.008631977019831538,0.0,21.0,0,8192,0
22,22,0.0086784920131322,0.0,22.0,0,8192,0
23,23,0.008756785013247281,0.0,23.0,0,8192,0
24,24,0.008808607002720237,0.0,24.0,0,8192,0
25,25,0.008857845998136327,0.0,25.0,0,8192,0
26,26,0.008904361020540819,0.0,26.0,0,8192,0
27,27,0.008952411997597665,0.0,27.0,0,8192,0
28,28,0.00900472400826402,0.0,28.0,0,8192,0
29,29,0.009058641997398809,0.0,29.0,0,8192,0
30,30,0.009106414014240727,0.0,30.0,0,8192,0
31,31,0.009159144014120102,0.0,31.0,0,8192,0
32,32,0.009211875003529713,0.0,32.0,0,8192,0
33,33,0.010722136998083442,0.0,33.0,0,8192,0
34,34,0.010795192007208243,0.0,34.0,0,8192,0
35,35,0.010847294004634023,0.0,35.0,0,8192,0
36,36,0.010904076014412567,0.0,36.0,0,8192,0
37,37,0.010956946003716439,0.0,37.0,0,8192,0
38,38,0.011008350003976375,0.0,38.0,0,8192,0
39,39,0.011061010998673737,0.0,39.0,0,8192,0
40,40,0.01111388101708144,0.0,40.0,0,8192,0
41,41,0.01116682100109756,0.0,41.0,0,8192,0
42,42,0.011229819006985053,0.0,42.0,0,8192,0
43,43,0.011287368019111454,0.0,43.0,0,8192,0
44,44,0.011350645014317706,0.0,44.0,0,8192,0
45,45,0.011404912016587332,0.0,45.0,0,8192,0
46,46,0.011463580012787133,0.0,46.0,0,8192,0
47,47,0.011520291009219363,0.0,47.0,0,8192,0
48,48,0.011575047014048323,0.0,48.0,0,8192,0
49,49,0.011629384011030197,0.0,49.0,0,8192,0
50,50,0.01168379100272432,0.0,50.0,0,8192,0
51,51,0.011752935010008514,0.0,51.0,0,8192,0
52,52,0.01181313901906833,0.0,52.0,0,8192,0
53,53,0.011869920010212809,0.0,53.0,0,8192,0
54,54,0.011926213017432019,0.0,54.0,0,8192,0
55,55,0.011981946998275816,0.0,55.0,0,8192,0
56,56,0.012038657994708046,0.0,56.0,0,8192,0
57,57,0.012094252015231177,0.0,57.0,0,8192,0
58,58,0.01215571301872842,0.0,58.0,0,8192,0
59,59,0.012213892012368888,0.0,59.0,0,8192,0
60,60,0.012276888999622315,0.0,60.0,0,8192,0
61,61,0.012335277016973123,0.0,61.0,0,8192,0
62,62,0.012393176002660766,0.0,62.0,0,8192,0
63,63,0.012452332011889666,0.0,63.0,0,8192,0
64,64,0.012512396002421156,0.0,64.0,0,8192,0
65,65,0.01452817500103265,0.0,65.0,0,8192,0
66,66,0.014606328011723235,0.0,66.0,0,8192,0
67,67,0.014670792006654665,0.0,67.0,0,8192,0
68,68,0.014746989996638149,0.0,68.0,0,8192,0
69,69,0.014811803004704416,0.0,69.0,0,8192,0
70,70,0.014875218999804929,0.0,70.0,0,8192,0
71,71,0.014938636013539508,0.0,71.0,0,8192,0
72,72,0.01500652200775221,0.0,72.0,0,8192,0
73,73,0.015074618015205488,0.0,73.0,0,8192,0
74,74,0.015142784017371014,0.0,74.0,0,8192,0
75,75,0.015211507998174056,0.0,75.0,0,8192,0
76,76,0.015275903017027304,0.0,76.0,0,8192,0
77,77,0.01534225299837999,0.0,77.0,0,8192,0
78,78,0.01540762500371784,0.0,78.0,0,8192,0
79,79,0.015476349013624713,0.0,79.0,0,8192,0
80,80,0.015546540002105758,0.0,80.0,0,8192,0
81,81,0.015618966019246727,0.0,81.0,0,8192,0
82,82,0.01569530399865471,0.0,82.0,0,8192,0
83,83,0.015768847020808607,0.0,83.0,0,8192,0
84,84,0.015840156003832817,0.0,84.0,0,8192,0
85,85,0.015911115013295785,0.0,85.0,0,8192,0
86,86,0.015978862007614225,0.0,86.0,0,8192,0
87,87,0.016047167009674013,0.0,87.0,0,8192,0
88,88,0.016114914003992453,0.0,88.0,0,8192,0
89,89,0.016183150000870228,0.0,89.0,0,8192,0
90,90,0.016255994996754453,0.0,90.0,0,8192,0
91,91,0.01632953801890835,0.0,91.0,0,8192,0
92,92,0.016403082001488656,0.0,92.0,0,8192,0
93,93,0.01647508901078254,0.0,93.0,0,8192,0
94,94,0.016549819993088022,0.0,94.0,0,8192,0
