,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,0.0,0,0.00015777299995534122,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]",0,8192,0
1,1,0.0,1,0.001623267016839236,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]",0,8192,0
2,2,0.0,2,0.002891456999350339,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]",0,8192,0
3,4,0.0,4,0.004144072998315096,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]",0,8192,0
4,8,0.0,8,0.005538607016205788,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]",0,8192,0
5,16,0.0,16,0.007181360007962212,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]",0,8192,0
6,32,0.0,32,0.009211875003529713,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]",0,8192,0
7,64,0.0,64,0.012512396002421156,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]",0,8192,0
8,128,0.0,128,0.01922672300133854,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]",0,8192,0
9,256,0.0,256,0.034199720015749335,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]",0,8192,0
10,512,0.0,500,0.07721084202057682,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]",0,8192,0
11,1024,0.0,500,0.07721084202057682,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]",0,8192,0
12,2048,0.0,500,0.07721084202057682,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]",0,8192,0
13,4096,0.0,500,0.07721084202057682,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]",0,8192,0
14,8192,0.0,500,0.07721084202057682,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]",0,8192,0
