,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,0.0,0,0.00013172198669053614,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]",geometric,0.1,0.99,0.001,0.09999986761506707,0.1,8192
1,1,0.0,2,0.002023321983870119,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1]",geometric,0.1,0.99,0.001,0.09999796651412785,0.1,8192
2,2,0.0,4,0.003368408011738211,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1]",geometric,0.1,0.99,0.001,0.09999661469412181,0.1,8192
3,4,0.0,8,0.004720058990642428,"[0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1]",geometric,0.1,0.99,0.001,0.09999525629470683,0.1,8192
4,8,0.0,16,0.006252043007407337,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1]",geometric,0.1,0.99,0.001,0.09999371668420906,0.1,8192
5,16,0.0,32,0.00807079699006863,"[0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1]",geometric,0.1,0.99,0.001,0.09999188890693139,0.1,8192
6,32,13.0,58,0.010904494993155822,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",geometric,0.1,0.99,0.001,0.09998904121681912,0.1,8192
7,64,13.0,90,0.01523832799284719,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",geometric,0.1,0.99,0.001,0.09998468614127369,0.1,8192
8,128,13.0,154,0.022281190991634503,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",geometric,0.1,0.99,0.001,0.09997760916185422,0.1,8192
9,256,13.0,282,0.040047657006653026,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",geometric,0.1,0.99,0.001,0.09995975885861384,0.1,8192
