,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,24.0,150,0.06972094500088133,"[8, 15, 13, 8, 11, 18, 11, 8, 7, 2, 17, 11, 15, 5, 7, 3, 6, 4, 10, 11]",150,0.4,8192
1,1,10.0,302,0.14611955100554042,"[7, 8, 19, 2, 10, 15, 5, 11, 2, 17, 6, 13, 2, 10, 1, 16, 9, 17, 10, 1]",150,0.4,8192
2,2,10.0,453,0.2224886149924714,"[7, 8, 19, 2, 10, 15, 5, 11, 2, 17, 6, 13, 2, 10, 1, 16, 9, 17, 10, 1]",150,0.4,8192
3,4,10.0,755,0.37215502199251205,"[7, 8, 19, 2, 10, 15, 5, 11, 2, 17, 6, 13, 2, 10, 1, 16, 9, 17, 10, 1]",150,0.4,8192
4,8,10.0,1359,0.6708806289825588,"[7, 8, 19, 2, 10, 15, 5, 11, 2, 17, 6, 13, 2, 10, 1, 16, 9, 17, 10, 1]",150,0.4,8192
5,16,8.0,2569,1.2657728339836467,"[4, 8, 10, 5, 15, 1, 9, 14, 2, 0, 16, 13, 0, 12, 19, 16, 11, 17, 7, 1]",150,0.4,8192
6,32,6.0,4987,2.4576927309972234,"[6, 8, 19, 1, 9, 0, 16, 18, 2, 5, 11, 13, 0, 10, 17, 15, 1, 10, 10, 1]",150,0.4,8192
7,64,3.0,9821,4.847917689010501,"[3, 8, 19, 1, 4, 14, 16, 11, 2, 5, 7, 13, 18, 0, 19, 16, 9, 12, 10, 1]",150,0.4,8192
8,128,3.0,19485,9.609130750002805,"[3, 8, 19, 1, 4, 14, 16, 11, 2, 5, 7, 13, 18, 0, 19, 16, 9, 12, 10, 1]",150,0.4,8192
9,256,3.0,38813,19.799560429004487,"[3, 8, 19, 1, 4, 14, 16, 11, 2, 5, 7, 13, 18, 0, 19, 16, 9, 12, 10, 1]",150,0.4,8192
10,512,3.0,77469,40.48376704799011,"[3, 8, 19, 1, 4, 14, 16, 11, 2, 5, 7, 13, 18, 0, 19, 16, 9, 12, 10, 1]",150,0.4,8192
11,1024,3.0,82452,42.943828051007586,"[3, 8, 19, 1, 4, 14, 16, 11, 2, 5, 7, 13, 18, 0, 19, 16, 9, 12, 10, 1]",150,0.4,8192
12,2048,3.0,82452,42.943828051007586,"[3, 8, 19, 1, 4, 14, 16, 11, 2, 5, 7, 13, 18, 0, 19, 16, 9, 12, 10, 1]",150,0.4,8192
13,4096,3.0,82452,42.943828051007586,"[3, 8, 19, 1, 4, 14, 16, 11, 2, 5, 7, 13, 18, 0, 19, 16, 9, 12, 10, 1]",150,0.4,8192
14,8192,3.0,82452,42.943828051007586,"[3, 8, 19, 1, 4, 14, 16, 11, 2, 5, 7, 13, 18, 0, 19, 16, 9, 12, 10, 1]",150,0.4,8192
