,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,24.0,150,0.21287263798876666,"[8, 15, 13, 8, 11, 18, 11, 8, 7, 2, 17, 11, 15, 5, 7, 3, 6, 4, 10, 11]",True,150,0.25,8192
1,1,11.0,302,0.7357150499883574,"[3.0, 7.0, 16.0, 19.0, 2.0, 11.0, 6.0, 18.0, 5.0, 13.0, 16.0, 13.0, 19.0, 1.0, 7.0, 15.0, 2.0, 12.0, 17.0, 8.0]",True,150,0.25,8192
2,2,10.0,454,1.0575751629949082,"[3.0, 7.0, 3.0, 19.0, 2.0, 4.0, 6.0, 0.0, 5.0, 3.0, 16.0, 13.0, 19.0, 1.0, 2.0, 15.0, 2.0, 12.0, 17.0, 8.0]",True,150,0.25,8192
3,4,10.0,756,1.5041749389783945,"[3.0, 7.0, 3.0, 19.0, 2.0, 4.0, 6.0, 0.0, 5.0, 3.0, 16.0, 13.0, 19.0, 1.0, 2.0, 15.0, 2.0, 12.0, 17.0, 8.0]",True,150,0.25,8192
4,8,10.0,1360,2.420556618977571,"[3.0, 7.0, 3.0, 19.0, 2.0, 4.0, 6.0, 0.0, 5.0, 3.0, 16.0, 13.0, 19.0, 1.0, 2.0, 15.0, 2.0, 12.0, 17.0, 8.0]",True,150,0.25,8192
5,16,10.0,2568,4.283518584998092,"[3.0, 7.0, 3.0, 19.0, 2.0, 4.0, 6.0, 0.0, 5.0, 3.0, 16.0, 13.0, 19.0, 1.0, 2.0, 15.0, 2.0, 12.0, 17.0, 8.0]",True,150,0.25,8192
6,32,10.0,4984,8.086832589004189,"[3.0, 7.0, 3.0, 19.0, 2.0, 4.0, 6.0, 0.0, 5.0, 3.0, 16.0, 13.0, 19.0, 1.0, 2.0, 15.0, 2.0, 12.0, 17.0, 8.0]",True,150,0.25,8192
7,64,10.0,9816,17.040717033989495,"[3.0, 7.0, 3.0, 19.0, 2.0, 4.0, 6.0, 0.0, 5.0, 3.0, 16.0, 13.0, 19.0, 1.0, 2.0, 15.0, 2.0, 12.0, 17.0, 8.0]",True,150,0.25,8192
8,128,10.0,19480,40.63869901699945,"[3.0, 7.0, 3.0, 19.0, 2.0, 4.0, 6.0, 0.0, 5.0, 3.0, 16.0, 13.0, 19.0, 1.0, 2.0, 15.0, 2.0, 12.0, 17.0, 8.0]",True,150,0.25,8192
9,256,10.0,38808,88.68883923898102,"[3.0, 7.0, 3.0, 19.0, 2.0, 4.0, 6.0, 0.0, 5.0, 3.0, 16.0, 13.0, 19.0, 1.0, 2.0, 15.0, 2.0, 12.0, 17.0, 8.0]",True,150,0.25,8192
10,512,10.0,75954,179.47697674299707,"[3.0, 7.0, 3.0, 19.0, 2.0, 4.0, 6.0, 0.0, 5.0, 3.0, 16.0, 13.0, 19.0, 1.0, 2.0, 15.0, 2.0, 12.0, 17.0, 8.0]",True,150,0.25,8192
11,1024,10.0,75954,179.47697674299707,"[3.0, 7.0, 3.0, 19.0, 2.0, 4.0, 6.0, 0.0, 5.0, 3.0, 16.0, 13.0, 19.0, 1.0, 2.0, 15.0, 2.0, 12.0, 17.0, 8.0]",True,150,0.25,8192
12,2048,10.0,75954,179.47697674299707,"[3.0, 7.0, 3.0, 19.0, 2.0, 4.0, 6.0, 0.0, 5.0, 3.0, 16.0, 13.0, 19.0, 1.0, 2.0, 15.0, 2.0, 12.0, 17.0, 8.0]",True,150,0.25,8192
13,4096,10.0,75954,179.47697674299707,"[3.0, 7.0, 3.0, 19.0, 2.0, 4.0, 6.0, 0.0, 5.0, 3.0, 16.0, 13.0, 19.0, 1.0, 2.0, 15.0, 2.0, 12.0, 17.0, 8.0]",True,150,0.25,8192
14,8192,10.0,75954,179.47697674299707,"[3.0, 7.0, 3.0, 19.0, 2.0, 4.0, 6.0, 0.0, 5.0, 3.0, 16.0, 13.0, 19.0, 1.0, 2.0, 15.0, 2.0, 12.0, 17.0, 8.0]",True,150,0.25,8192
15,0,24.0,150,0.21926744998199865,"[8, 15, 13, 8, 11, 18, 11, 8, 7, 2, 17, 11, 15, 5, 7, 3, 6, 4, 10, 11]",True,150,0.5,8192
16,1,11.0,302,0.6774077939917333,"[12.0, 16.0, 2.0, 6.0, 9.0, 1.0, 17.0, 13.0, 2.0, 4.0, 7.0, 4.0, 19.0, 12.0, 4.0, 1.0, 10.0, 1.0, 16.0, 11.0]",True,150,0.5,8192
17,2,10.0,454,1.2523029629956,"[10.0, 19.0, 13.0, 4.0, 4.0, 1.0, 19.0, 1.0, 3.0, 8.0, 2.0, 3.0, 14.0, 16.0, 7.0, 0.0, 9.0, 18.0, 6.0, 17.0]",True,150,0.5,8192
18,4,9.0,757,2.059509431972401,"[17.0, 0.0, 10.0, 6.0, 7.0, 1.0, 19.0, 4.0, 9.0, 14.0, 16.0, 3.0, 12.0, 15.0, 7.0, 0.0, 0.0, 12.0, 13.0, 1.0]",True,150,0.5,8192
19,8,7.0,1362,3.9020573899906594,"[4.0, 16.0, 12.0, 19.0, 1.0, 4.0, 18.0, 8.0, 3.0, 5.0, 17.0, 5.0, 14.0, 6.0, 6.0, 15.0, 2.0, 7.0, 16.0, 9.0]",True,150,0.5,8192
20,16,7.0,2570,7.324864871974569,"[4.0, 16.0, 12.0, 19.0, 1.0, 4.0, 18.0, 8.0, 3.0, 5.0, 17.0, 5.0, 14.0, 6.0, 6.0, 15.0, 2.0, 7.0, 16.0, 9.0]",True,150,0.5,8192
21,32,7.0,4986,13.40408999598003,"[4.0, 16.0, 12.0, 19.0, 1.0, 4.0, 18.0, 8.0, 3.0, 5.0, 17.0, 5.0, 14.0, 6.0, 6.0, 15.0, 2.0, 7.0, 16.0, 9.0]",True,150,0.5,8192
22,64,7.0,9818,24.908373665995896,"[4.0, 16.0, 12.0, 19.0, 1.0, 4.0, 18.0, 8.0, 3.0, 5.0, 17.0, 5.0, 14.0, 6.0, 6.0, 15.0, 2.0, 7.0, 16.0, 9.0]",True,150,0.5,8192
23,128,7.0,19482,48.169523344986374,"[4.0, 16.0, 12.0, 19.0, 1.0, 4.0, 18.0, 8.0, 3.0, 5.0, 17.0, 5.0, 14.0, 6.0, 6.0, 15.0, 2.0, 7.0, 16.0, 9.0]",True,150,0.5,8192
24,256,7.0,38810,86.12387227997533,"[4.0, 16.0, 12.0, 19.0, 1.0, 4.0, 18.0, 8.0, 3.0, 5.0, 17.0, 5.0, 14.0, 6.0, 6.0, 15.0, 2.0, 7.0, 16.0, 9.0]",True,150,0.5,8192
25,512,7.0,76711,176.90259904999402,"[4.0, 16.0, 12.0, 19.0, 1.0, 4.0, 18.0, 8.0, 3.0, 5.0, 17.0, 5.0, 14.0, 6.0, 6.0, 15.0, 2.0, 7.0, 16.0, 9.0]",True,150,0.5,8192
26,1024,7.0,76711,176.90259904999402,"[4.0, 16.0, 12.0, 19.0, 1.0, 4.0, 18.0, 8.0, 3.0, 5.0, 17.0, 5.0, 14.0, 6.0, 6.0, 15.0, 2.0, 7.0, 16.0, 9.0]",True,150,0.5,8192
27,2048,7.0,76711,176.90259904999402,"[4.0, 16.0, 12.0, 19.0, 1.0, 4.0, 18.0, 8.0, 3.0, 5.0, 17.0, 5.0, 14.0, 6.0, 6.0, 15.0, 2.0, 7.0, 16.0, 9.0]",True,150,0.5,8192
28,4096,7.0,76711,176.90259904999402,"[4.0, 16.0, 12.0, 19.0, 1.0, 4.0, 18.0, 8.0, 3.0, 5.0, 17.0, 5.0, 14.0, 6.0, 6.0, 15.0, 2.0, 7.0, 16.0, 9.0]",True,150,0.5,8192
29,8192,7.0,76711,176.90259904999402,"[4.0, 16.0, 12.0, 19.0, 1.0, 4.0, 18.0, 8.0, 3.0, 5.0, 17.0, 5.0, 14.0, 6.0, 6.0, 15.0, 2.0, 7.0, 16.0, 9.0]",True,150,0.5,8192
30,0,24.0,150,0.17155321498285048,"[8, 15, 13, 8, 11, 18, 11, 8, 7, 2, 17, 11, 15, 5, 7, 3, 6, 4, 10, 11]",True,150,0.75,8192
