,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,24.0,0,0.0011635669798124582,"[8, 15, 13, 8, 11, 18, 11, 8, 7, 2, 17, 11, 15, 5, 7, 3, 6, 4, 10, 11]",geometric,0.1,0.99,0.001,0.09999883058294423,0.1,8192
1,1,23.0,2,0.004109990986762568,"[8, 15, 13, 8, 11, 18, 11, 8, 7, 2, 17, 11, 15, 5, 7, 3, 6, 4, 10, 7]",geometric,0.1,0.99,0.001,0.09999586940633419,0.1,8192
2,2,23.0,4,0.006736048992024735,"[8, 15, 13, 8, 11, 18, 10, 8, 7, 2, 17, 11, 15, 5, 7, 3, 6, 4, 10, 7]",geometric,0.1,0.99,0.001,0.09999323027368677,0.1,8192
3,4,23.0,8,0.010063111985800788,"[8, 15, 13, 5, 11, 18, 10, 8, 7, 2, 17, 11, 15, 5, 6, 3, 6, 4, 10, 7]",geometric,0.1,0.99,0.001,0.09998988674590516,0.1,8192
4,8,21.0,16,0.015538023988483474,"[8, 15, 17, 5, 11, 18, 10, 8, 7, 2, 17, 11, 15, 5, 8, 18, 6, 4, 10, 7]",geometric,0.1,0.99,0.001,0.09998438498331226,0.1,8192
5,16,19.0,28,0.022788250993471593,"[8, 15, 17, 5, 11, 18, 10, 8, 7, 2, 8, 11, 15, 5, 8, 9, 6, 4, 8, 0]",geometric,0.1,0.99,0.001,0.0999770996649273,0.1,8192
6,32,15.0,51,0.03561808299855329,"[9, 15, 17, 0, 12, 18, 10, 8, 7, 2, 8, 11, 15, 5, 8, 15, 12, 4, 2, 0]",geometric,0.1,0.99,0.001,0.09996420903683456,0.1,8192
7,64,12.0,95,0.05865783497574739,"[9, 6, 17, 0, 18, 16, 10, 8, 7, 2, 8, 11, 6, 5, 0, 15, 12, 4, 8, 8]",geometric,0.1,0.99,0.001,0.09994106427972771,0.1,8192
8,128,6.0,174,0.09991412199451588,"[9, 6, 14, 0, 2, 16, 19, 8, 7, 17, 17, 11, 14, 1, 5, 18, 12, 0, 13, 10]",geometric,0.1,0.99,0.001,0.09989963335279083,0.1,8192
9,256,4.0,315,0.18436725498759188,"[9, 6, 18, 7, 19, 16, 5, 8, 2, 4, 17, 11, 4, 19, 12, 3, 14, 0, 15, 10]",geometric,0.1,0.99,0.001,0.09981487628242464,0.1,8192
10,512,3.0,586,0.3472061389766168,"[9, 6, 18, 7, 4, 16, 5, 8, 4, 19, 17, 13, 1, 3, 12, 14, 2, 0, 15, 10]",geometric,0.1,0.99,0.001,0.09965165430559131,0.1,8192
11,1024,2.0,1111,0.7220054479839746,"[9, 6, 18, 7, 19, 16, 5, 8, 11, 19, 17, 13, 1, 3, 12, 7, 2, 0, 15, 10]",geometric,0.1,0.99,0.001,0.0992769866844218,0.1,8192
12,2048,1.0,2155,1.6995492249843664,"[14, 6, 18, 7, 0, 16, 5, 8, 1, 3, 19, 13, 19, 4, 12, 10, 2, 17, 15, 9]",geometric,0.1,0.99,0.001,0.0983064013397006,0.1,8192
13,4096,1.0,4239,4.603007492987672,"[14, 6, 1, 7, 0, 16, 14, 8, 11, 3, 17, 13, 18, 4, 12, 10, 2, 5, 15, 9]",geometric,0.1,0.99,0.001,0.09547919923902219,0.1,8192
14,8192,1.0,8417,14.332930856995517,"[9, 3, 10, 17, 15, 1, 18, 4, 8, 14, 11, 6, 19, 2, 12, 7, 9, 16, 0, 13]",geometric,0.1,0.99,0.001,0.08658437890258035,0.1,8192
15,0,24.0,0,0.0010998020006809384,"[8, 15, 13, 8, 11, 18, 11, 8, 7, 2, 17, 11, 15, 5, 7, 3, 6, 4, 10, 11]",geometric,0.5,0.99,0.001,0.4999944733408046,0.5,8192
16,1,23.0,2,0.012989072012715042,"[8, 15, 13, 8, 11, 18, 11, 8, 7, 2, 17, 11, 15, 5, 7, 3, 6, 4, 10, 7]",geometric,0.5,0.99,0.001,0.49993473199220706,0.5,8192
17,2,23.0,4,0.024986458010971546,"[8, 15, 13, 8, 11, 18, 10, 8, 7, 2, 17, 11, 15, 5, 7, 3, 6, 4, 10, 7]",geometric,0.5,0.99,0.001,0.4998744546168823,0.5,8192
18,4,23.0,8,0.03800102201057598,"[8, 15, 13, 5, 11, 18, 10, 8, 7, 2, 17, 11, 15, 5, 6, 3, 6, 4, 10, 7]",geometric,0.5,0.99,0.001,0.4998090749446677,0.5,8192
19,8,21.0,16,0.05501976699451916,"[8, 15, 17, 5, 11, 18, 10, 8, 7, 2, 17, 11, 15, 5, 8, 18, 6, 4, 10, 7]",geometric,0.5,0.99,0.001,0.4997235928606372,0.5,8192
20,16,19.0,28,0.07179678799002431,"[8, 15, 17, 5, 11, 18, 10, 8, 7, 2, 8, 11, 15, 5, 8, 9, 6, 4, 8, 0]",geometric,0.5,0.99,0.001,0.49963933922253023,0.5,8192
21,32,14.0,55,0.09556066201184876,"[9, 15, 17, 0, 11, 18, 10, 8, 7, 2, 8, 16, 15, 5, 0, 14, 12, 4, 2, 18]",geometric,0.5,0.99,0.001,0.49952002215247493,0.5,8192
22,64,8.0,101,0.12869062498793937,"[9, 6, 17, 0, 16, 17, 10, 8, 4, 2, 18, 2, 15, 5, 0, 14, 12, 19, 8, 1]",geometric,0.5,0.99,0.001,0.49935372602913747,0.5,8192
23,128,7.0,174,0.17673331699916162,"[9, 6, 17, 0, 18, 0, 10, 8, 15, 2, 13, 2, 1, 5, 3, 14, 12, 19, 6, 1]",geometric,0.5,0.99,0.001,0.49911267368457196,0.5,8192
24,256,4.0,319,0.2655665900092572,"[9, 13, 17, 3, 18, 0, 10, 8, 2, 7, 3, 19, 15, 5, 3, 14, 12, 19, 6, 1]",geometric,0.5,0.99,0.001,0.4986672626409181,0.5,8192
25,512,3.0,593,0.43727575498633087,"[9, 18, 12, 0, 0, 7, 10, 8, 14, 16, 3, 19, 15, 13, 3, 14, 2, 11, 5, 1]",geometric,0.5,0.99,0.001,0.49780743733216576,0.5,8192
26,1024,1.0,1114,0.8161401469842531,"[5, 18, 12, 0, 2, 7, 10, 8, 14, 16, 3, 19, 15, 13, 4, 6, 1, 11, 17, 14]",geometric,0.5,0.99,0.001,0.49591553299483637,0.5,8192
27,2048,0.0,1763,1.4038257760112174,"[9, 18, 12, 0, 2, 7, 10, 8, 14, 16, 3, 19, 15, 13, 4, 6, 1, 11, 17, 5]",geometric,0.5,0.99,0.001,0.49299507192306874,0.5,8192
28,4096,0.0,1763,1.4038257760112174,"[9, 18, 12, 0, 2, 7, 10, 8, 14, 16, 3, 19, 15, 13, 4, 6, 1, 11, 17, 5]",geometric,0.5,0.99,0.001,0.49299507192306874,0.5,8192
29,8192,0.0,1763,1.4038257760112174,"[9, 18, 12, 0, 2, 7, 10, 8, 14, 16, 3, 19, 15, 13, 4, 6, 1, 11, 17, 5]",geometric,0.5,0.99,0.001,0.49299507192306874,0.5,8192
30,0,24.0,0,0.001108252996345982,"[8, 15, 13, 8, 11, 18, 11, 8, 7, 2, 17, 11, 15, 5, 7, 3, 6, 4, 10, 11]",geometric,0.75,0.99,0.001,0.7499916463104052,0.75,8192
31,1,23.0,2,0.015208300988888368,"[8, 15, 13, 8, 11, 18, 11, 8, 7, 2, 17, 11, 15, 5, 7, 3, 6, 4, 10, 7]",geometric,0.75,0.99,0.001,0.7498853723610317,0.75,8192
32,2,23.0,4,0.0290984750026837,"[8, 15, 13, 8, 11, 18, 10, 8, 7, 2, 17, 11, 15, 5, 7, 3, 6, 4, 10, 7]",geometric,0.75,0.99,0.001,0.749780694984427,0.75,8192
33,4,23.0,8,0.04376542998943478,"[8, 15, 13, 5, 11, 18, 10, 8, 7, 2, 17, 11, 15, 5, 6, 3, 6, 4, 10, 7]",geometric,0.75,0.99,0.001,0.7496701795896452,0.75,8192
34,8,21.0,16,0.060423580987844616,"[8, 15, 17, 5, 11, 18, 10, 8, 7, 2, 17, 11, 15, 5, 8, 18, 6, 4, 10, 7]",geometric,0.75,0.99,0.001,0.7495446803048471,0.75,8192
35,16,19.0,28,0.07910924399038777,"[8, 15, 17, 5, 11, 18, 10, 8, 7, 2, 8, 11, 15, 5, 8, 9, 6, 4, 8, 0]",geometric,0.75,0.99,0.001,0.7494039311375529,0.75,8192
36,32,14.0,55,0.10481849597999826,"[9, 15, 17, 0, 11, 18, 10, 8, 7, 2, 8, 16, 15, 5, 0, 14, 12, 4, 2, 18]",geometric,0.75,0.99,0.001,0.7492103202053054,0.75,8192
37,64,10.0,102,0.1405166889890097,"[9, 6, 17, 0, 16, 17, 10, 8, 4, 2, 18, 2, 6, 5, 0, 14, 12, 19, 8, 1]",geometric,0.75,0.99,0.001,0.7489415676181219,0.75,8192
38,128,5.0,181,0.19311643097898923,"[9, 6, 15, 0, 2, 17, 10, 8, 15, 2, 16, 2, 15, 5, 18, 4, 12, 19, 13, 1]",geometric,0.75,0.99,0.001,0.7485457479818488,0.75,8192
39,256,5.0,323,0.28181141600362025,"[14, 6, 19, 13, 19, 17, 3, 8, 2, 2, 16, 2, 15, 5, 18, 4, 12, 19, 16, 1]",geometric,0.75,0.99,0.001,0.7478787808482225,0.75,8192
40,512,4.0,598,0.4582629209908191,"[14, 6, 10, 13, 0, 17, 3, 8, 15, 11, 16, 2, 15, 5, 18, 3, 1, 12, 12, 19]",geometric,0.75,0.99,0.001,0.746553670267202,0.75,8192
41,1024,2.0,1137,0.8539525259984657,"[14, 6, 10, 13, 0, 17, 4, 8, 11, 18, 16, 2, 19, 12, 7, 15, 1, 5, 2, 9]",geometric,0.75,0.99,0.001,0.7435906611816603,0.75,8192
42,2048,1.0,2194,1.8467448329902254,"[13, 5, 10, 8, 19, 17, 4, 2, 11, 18, 16, 3, 6, 12, 7, 15, 1, 18, 14, 9]",geometric,0.75,0.99,0.001,0.7362080833570618,0.75,8192
43,4096,1.0,4281,4.8536096019961406,"[11, 5, 18, 13, 0, 17, 9, 2, 10, 14, 16, 3, 19, 12, 5, 15, 1, 4, 6, 8]",geometric,0.75,0.99,0.001,0.7142926840108546,0.75,8192
44,8192,1.0,5945,9.653767877985956,"[13, 9, 6, 4, 7, 17, 0, 2, 18, 14, 16, 3, 19, 12, 10, 5, 1, 15, 11, 8]",geometric,0.75,0.99,0.001,0.6806509346327192,0.75,8192
45,0,24.0,0,0.0022701440029777586,"[8, 15, 13, 8, 11, 18, 11, 8, 7, 2, 17, 11, 15, 5, 7, 3, 6, 4, 10, 11]",geometric,1.0,0.99,0.001,0.9999771845506106,1.0,8192
46,1,23.0,2,0.028060343000106514,"[8, 15, 13, 8, 11, 18, 11, 8, 7, 2, 17, 11, 15, 5, 7, 3, 6, 4, 10, 7]",geometric,1.0,0.99,0.001,0.9997180238914223,1.0,8192
47,2,23.0,4,0.04901803599204868,"[8, 15, 13, 8, 11, 18, 10, 8, 7, 2, 17, 11, 15, 5, 7, 3, 6, 4, 10, 7]",geometric,1.0,0.99,0.001,0.9995074736063658,1.0,8192
48,4,23.0,8,0.07697487299446948,"[8, 15, 13, 5, 11, 18, 10, 8, 7, 2, 17, 11, 15, 5, 6, 3, 6, 4, 10, 7]",geometric,1.0,0.99,0.001,0.999226675843497,1.0,8192
49,8,21.0,16,0.1031675009871833,"[8, 15, 17, 5, 11, 18, 10, 8, 7, 2, 17, 11, 15, 5, 8, 18, 6, 4, 10, 7]",geometric,1.0,0.99,0.001,0.9989636693278319,1.0,8192
50,16,19.0,28,0.13216575200203806,"[8, 15, 17, 5, 11, 18, 10, 8, 7, 2, 8, 11, 15, 5, 8, 9, 6, 4, 8, 0]",geometric,1.0,0.99,0.001,0.9986725716175534,1.0,8192
51,32,15.0,56,0.16558004199760035,"[9, 15, 17, 0, 12, 18, 10, 8, 7, 2, 8, 11, 15, 5, 0, 14, 12, 7, 2, 18]",geometric,1.0,0.99,0.001,0.9983372488722161,1.0,8192
52,64,9.0,103,0.21037200899445452,"[9, 6, 12, 0, 18, 7, 10, 18, 13, 2, 8, 11, 6, 17, 1, 16, 12, 3, 8, 8]",geometric,1.0,0.99,0.001,0.9978879242329969,1.0,8192
53,128,6.0,194,0.2777832799765747,"[6, 2, 7, 1, 13, 0, 19, 18, 15, 17, 9, 11, 1, 1, 18, 9, 12, 3, 8, 10]",geometric,1.0,0.99,0.001,0.99721207823382,1.0,8192
54,256,3.0,339,0.41561726699001156,"[18, 7, 7, 17, 13, 0, 19, 5, 15, 2, 9, 11, 15, 1, 18, 16, 12, 4, 8, 10]",geometric,1.0,0.99,0.001,0.9958316187993146,1.0,8192
