,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,130.83106057819353,150,0.007601043995236978,"[20, 0, 23, 12, 29, 9, 1, 21, 14, 16, 25, 19, 10, 4, 6, 3, 27, 5, 30, 24, 17, 2, 7, 28, 26, 18, 11, 22, 31, 13, 15, 8]",150,0.4,8192
1,1,101.90629030283577,302,0.036921619990607724,"[7, 8, 10, 1, 9, 17, 15, 30, 3, 29, 23, 24, 6, 5, 4, 2, 12, 13, 18, 20, 31, 25, 21, 0, 22, 11, 19, 16, 28, 27, 26, 14]",150,0.4,8192
2,2,98.99478462012212,454,0.06621195501065813,"[10, 9, 14, 13, 11, 28, 20, 22, 31, 27, 26, 16, 12, 3, 24, 30, 23, 29, 2, 1, 5, 7, 17, 21, 15, 18, 19, 4, 0, 6, 8, 25]",150,0.4,8192
3,4,96.77792333114755,757,0.12301542400382459,"[23, 1, 2, 18, 16, 14, 27, 15, 3, 7, 8, 10, 9, 17, 30, 29, 24, 6, 5, 4, 12, 13, 20, 31, 25, 21, 0, 22, 11, 19, 28, 26]",150,0.4,8192
4,8,90.20454397018707,1364,0.23472356999991462,"[18, 16, 14, 15, 31, 23, 0, 2, 3, 5, 8, 4, 30, 29, 26, 12, 13, 10, 11, 25, 27, 6, 9, 24, 7, 20, 21, 28, 22, 19, 1, 17]",150,0.4,8192
5,16,71.17271077219888,2575,0.45657959100208245,"[18, 16, 14, 15, 31, 23, 0, 2, 3, 5, 8, 4, 30, 29, 26, 12, 13, 10, 11, 9, 7, 6, 28, 27, 25, 17, 19, 20, 22, 1, 21, 24]",150,0.4,8192
6,32,60.72744056749616,4997,0.8987640480045229,"[18, 16, 14, 15, 31, 23, 0, 1, 2, 3, 5, 8, 4, 30, 28, 29, 26, 12, 13, 10, 11, 9, 7, 6, 27, 25, 24, 22, 20, 21, 19, 17]",150,0.4,8192
7,64,49.27117253720151,9840,1.7842685939976946,"[18, 16, 14, 15, 30, 31, 23, 0, 1, 2, 3, 4, 5, 8, 28, 29, 27, 26, 12, 13, 11, 10, 9, 7, 6, 25, 24, 22, 21, 20, 19, 17]",150,0.4,8192
8,128,41.77269903474535,19517,3.5542259339999873,"[18, 16, 15, 14, 29, 30, 31, 23, 0, 1, 2, 3, 4, 5, 6, 7, 26, 27, 28, 13, 12, 11, 10, 9, 8, 25, 24, 22, 21, 20, 19, 17]",150,0.4,8192
9,256,39.594553449872045,38849,7.103407110989792,"[18, 17, 16, 15, 14, 29, 30, 31, 23, 0, 1, 2, 3, 4, 5, 6, 7, 8, 27, 28, 13, 12, 11, 10, 9, 26, 25, 24, 22, 21, 20, 19]",150,0.4,8192
10,512,39.594553449872045,77505,14.175861019990407,"[18, 17, 16, 15, 14, 29, 30, 31, 23, 0, 1, 2, 3, 4, 5, 6, 7, 8, 27, 28, 13, 12, 11, 10, 9, 26, 25, 24, 22, 21, 20, 19]",150,0.4,8192
11,1024,39.594553449872045,101967,18.667677421995904,"[18, 17, 16, 15, 14, 29, 30, 31, 23, 0, 1, 2, 3, 4, 5, 6, 7, 8, 27, 28, 13, 12, 11, 10, 9, 26, 25, 24, 22, 21, 20, 19]",150,0.4,8192
12,2048,39.594553449872045,101967,18.667677421995904,"[18, 17, 16, 15, 14, 29, 30, 31, 23, 0, 1, 2, 3, 4, 5, 6, 7, 8, 27, 28, 13, 12, 11, 10, 9, 26, 25, 24, 22, 21, 20, 19]",150,0.4,8192
13,4096,39.594553449872045,101967,18.667677421995904,"[18, 17, 16, 15, 14, 29, 30, 31, 23, 0, 1, 2, 3, 4, 5, 6, 7, 8, 27, 28, 13, 12, 11, 10, 9, 26, 25, 24, 22, 21, 20, 19]",150,0.4,8192
14,8192,39.594553449872045,101967,18.667677421995904,"[18, 17, 16, 15, 14, 29, 30, 31, 23, 0, 1, 2, 3, 4, 5, 6, 7, 8, 27, 28, 13, 12, 11, 10, 9, 26, 25, 24, 22, 21, 20, 19]",150,0.4,8192
15,0,130.83106057819353,150,0.0076825490104965866,"[20, 0, 23, 12, 29, 9, 1, 21, 14, 16, 25, 19, 10, 4, 6, 3, 27, 5, 30, 24, 17, 2, 7, 28, 26, 18, 11, 22, 31, 13, 15, 8]",150,0.5,8192
16,1,101.90629030283577,302,0.038036926998756826,"[7, 8, 10, 1, 9, 17, 15, 30, 3, 29, 23, 24, 6, 5, 4, 2, 12, 13, 18, 20, 31, 25, 21, 0, 22, 11, 19, 16, 28, 27, 26, 14]",150,0.5,8192
17,2,101.90629030283577,453,0.06867688801139593,"[7, 8, 10, 1, 9, 17, 15, 30, 3, 29, 23, 24, 6, 5, 4, 2, 12, 13, 18, 20, 31, 25, 21, 0, 22, 11, 19, 16, 28, 27, 26, 14]",150,0.5,8192
18,4,94.73185498863452,756,0.1272150930017233,"[7, 8, 10, 1, 9, 17, 15, 30, 3, 29, 23, 24, 6, 5, 4, 2, 12, 13, 18, 20, 16, 25, 26, 27, 28, 0, 22, 21, 31, 19, 14, 11]",150,0.5,8192
19,8,86.86575367377728,1361,0.2413562540023122,"[19, 23, 11, 12, 13, 9, 10, 4, 2, 3, 5, 8, 30, 16, 15, 26, 25, 27, 6, 7, 14, 28, 18, 22, 24, 1, 21, 0, 17, 20, 31, 29]",150,0.5,8192
20,16,80.27206728268193,2571,0.4666271290043369,"[1, 9, 7, 5, 4, 14, 13, 12, 30, 20, 15, 16, 11, 6, 27, 18, 19, 17, 22, 23, 2, 3, 8, 26, 25, 10, 28, 29, 24, 31, 21, 0]",150,0.5,8192
21,32,66.53342703576965,4993,0.9134151519974694,"[2, 1, 0, 22, 19, 20, 23, 3, 11, 12, 13, 9, 10, 4, 5, 8, 7, 6, 27, 29, 30, 14, 15, 16, 26, 25, 24, 31, 28, 17, 18, 21]",150,0.5,8192
22,64,55.44697281520923,9836,1.8035952690115664,"[2, 1, 0, 22, 23, 19, 20, 21, 29, 14, 13, 11, 12, 9, 10, 3, 4, 5, 6, 7, 8, 27, 28, 30, 15, 16, 18, 17, 26, 25, 24, 31]",150,0.5,8192
23,128,45.20667743495552,19513,3.701668874011375,"[2, 1, 0, 23, 22, 21, 20, 19, 30, 15, 14, 13, 12, 11, 10, 9, 3, 4, 5, 6, 7, 8, 26, 27, 28, 29, 16, 17, 18, 31, 25, 24]",150,0.5,8192
24,256,35.236067977499786,38854,7.714793712017126,"[3, 2, 1, 0, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 26, 27, 28, 29, 30, 31, 24, 25]",150,0.5,8192
25,512,35.236067977499786,77510,16.002394704002654,"[3, 2, 1, 0, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 26, 27, 28, 29, 30, 31, 24, 25]",150,0.5,8192
26,1024,35.236067977499786,107408,21.84470903701731,"[3, 2, 1, 0, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 26, 27, 28, 29, 30, 31, 24, 25]",150,0.5,8192
