,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,130.83106057819353,150,0.007695818989304826,"[20, 0, 23, 12, 29, 9, 1, 21, 14, 16, 25, 19, 10, 4, 6, 3, 27, 5, 30, 24, 17, 2, 7, 28, 26, 18, 11, 22, 31, 13, 15, 8]",True,150,0.25,8192
1,1,102.478165271833,302,0.37669913898571394,"[7, 14, 11, 4, 25, 13, 8, 26, 30, 2, 16, 19, 31, 27, 9, 6, 10, 3, 0, 22, 24, 28, 18, 20, 23, 1, 21, 17, 12, 15, 29, 5]",True,150,0.25,8192
2,2,101.75829120755523,454,0.7292888920055702,"[6, 17, 2, 27, 28, 10, 12, 13, 0, 22, 23, 18, 30, 31, 21, 15, 20, 19, 25, 7, 26, 24, 16, 9, 11, 14, 8, 4, 5, 29, 3, 1]",True,150,0.25,8192
3,4,101.75829120755523,756,1.4773060540028382,"[6, 17, 2, 27, 28, 10, 12, 13, 0, 22, 23, 18, 30, 31, 21, 15, 20, 19, 25, 7, 26, 24, 16, 9, 11, 14, 8, 4, 5, 29, 3, 1]",True,150,0.25,8192
4,8,101.75829120755523,1360,3.1511484519869555,"[6, 17, 2, 27, 28, 10, 12, 13, 0, 22, 23, 18, 30, 31, 21, 15, 20, 19, 25, 7, 26, 24, 16, 9, 11, 14, 8, 4, 5, 29, 3, 1]",True,150,0.25,8192
5,16,101.75829120755523,2568,6.485020735999569,"[6, 17, 2, 27, 28, 10, 12, 13, 0, 22, 23, 18, 30, 31, 21, 15, 20, 19, 25, 7, 26, 24, 16, 9, 11, 14, 8, 4, 5, 29, 3, 1]",True,150,0.25,8192
6,32,101.75829120755523,4984,13.356956259987783,"[6, 17, 2, 27, 28, 10, 12, 13, 0, 22, 23, 18, 30, 31, 21, 15, 20, 19, 25, 7, 26, 24, 16, 9, 11, 14, 8, 4, 5, 29, 3, 1]",True,150,0.25,8192
7,64,101.75829120755523,9816,26.52540765798767,"[6, 17, 2, 27, 28, 10, 12, 13, 0, 22, 23, 18, 30, 31, 21, 15, 20, 19, 25, 7, 26, 24, 16, 9, 11, 14, 8, 4, 5, 29, 3, 1]",True,150,0.25,8192
8,128,101.75829120755523,19480,52.80657612500363,"[6, 17, 2, 27, 28, 10, 12, 13, 0, 22, 23, 18, 30, 31, 21, 15, 20, 19, 25, 7, 26, 24, 16, 9, 11, 14, 8, 4, 5, 29, 3, 1]",True,150,0.25,8192
9,256,101.75829120755523,38808,106.62881949997973,"[6, 17, 2, 27, 28, 10, 12, 13, 0, 22, 23, 18, 30, 31, 21, 15, 20, 19, 25, 7, 26, 24, 16, 9, 11, 14, 8, 4, 5, 29, 3, 1]",True,150,0.25,8192
10,512,101.75829120755523,75954,211.33040503700613,"[6, 17, 2, 27, 28, 10, 12, 13, 0, 22, 23, 18, 30, 31, 21, 15, 20, 19, 25, 7, 26, 24, 16, 9, 11, 14, 8, 4, 5, 29, 3, 1]",True,150,0.25,8192
11,1024,101.75829120755523,75954,211.33040503700613,"[6, 17, 2, 27, 28, 10, 12, 13, 0, 22, 23, 18, 30, 31, 21, 15, 20, 19, 25, 7, 26, 24, 16, 9, 11, 14, 8, 4, 5, 29, 3, 1]",True,150,0.25,8192
12,2048,101.75829120755523,75954,211.33040503700613,"[6, 17, 2, 27, 28, 10, 12, 13, 0, 22, 23, 18, 30, 31, 21, 15, 20, 19, 25, 7, 26, 24, 16, 9, 11, 14, 8, 4, 5, 29, 3, 1]",True,150,0.25,8192
13,4096,101.75829120755523,75954,211.33040503700613,"[6, 17, 2, 27, 28, 10, 12, 13, 0, 22, 23, 18, 30, 31, 21, 15, 20, 19, 25, 7, 26, 24, 16, 9, 11, 14, 8, 4, 5, 29, 3, 1]",True,150,0.25,8192
14,8192,101.75829120755523,75954,211.33040503700613,"[6, 17, 2, 27, 28, 10, 12, 13, 0, 22, 23, 18, 30, 31, 21, 15, 20, 19, 25, 7, 26, 24, 16, 9, 11, 14, 8, 4, 5, 29, 3, 1]",True,150,0.25,8192
15,0,130.83106057819353,150,0.007642529992153868,"[20, 0, 23, 12, 29, 9, 1, 21, 14, 16, 25, 19, 10, 4, 6, 3, 27, 5, 30, 24, 17, 2, 7, 28, 26, 18, 11, 22, 31, 13, 15, 8]",True,150,0.5,8192
16,1,102.64999926511393,302,0.4076468940183986,"[14, 16, 29, 27, 15, 31, 3, 18, 20, 22, 21, 24, 12, 1, 23, 30, 26, 5, 2, 7, 6, 8, 11, 13, 25, 10, 0, 4, 28, 9, 19, 17]",True,150,0.5,8192
17,2,102.37796338325738,454,0.8032188760116696,"[22, 28, 11, 24, 18, 31, 20, 21, 10, 15, 16, 12, 14, 17, 29, 7, 2, 23, 27, 13, 9, 26, 3, 8, 5, 6, 25, 4, 1, 30, 0, 19]",True,150,0.5,8192
