,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,130.83106057819353,0,0.000278111023362726,"[20, 0, 23, 12, 29, 9, 1, 21, 14, 16, 25, 19, 10, 4, 6, 3, 27, 5, 30, 24, 17, 2, 7, 28, 26, 18, 11, 22, 31, 13, 15, 8]",0,8192,0
1,1,123.93600263969189,2,0.0017438850190956146,"[20, 0, 23, 12, 29, 19, 1, 21, 14, 16, 25, 9, 10, 4, 6, 3, 27, 5, 30, 24, 17, 2, 7, 28, 26, 18, 11, 22, 31, 13, 15, 8]",0,8192,0
2,2,123.93600263969189,3,0.0028914590075146407,"[20, 0, 23, 12, 29, 19, 1, 21, 14, 16, 25, 9, 10, 4, 6, 3, 27, 5, 30, 24, 17, 2, 7, 28, 26, 18, 11, 22, 31, 13, 15, 8]",0,8192,0
3,4,122.90271518401548,6,0.0041755040001589805,"[20, 0, 23, 12, 29, 19, 1, 21, 14, 16, 25, 9, 10, 4, 6, 30, 27, 5, 3, 24, 17, 2, 7, 28, 26, 18, 11, 22, 31, 13, 15, 8]",0,8192,0
4,8,120.2556962124381,12,0.005662998009938747,"[20, 0, 23, 12, 29, 19, 1, 21, 14, 16, 27, 9, 10, 4, 6, 30, 11, 5, 3, 24, 17, 2, 7, 28, 26, 18, 25, 22, 31, 13, 15, 8]",0,8192,0
5,16,106.22374330425066,24,0.007681153016164899,"[20, 0, 23, 30, 29, 19, 1, 18, 14, 16, 27, 9, 26, 4, 6, 12, 11, 5, 3, 24, 21, 2, 7, 28, 10, 17, 25, 22, 31, 13, 15, 8]",0,8192,0
6,32,102.86096453422284,43,0.011061226017773151,"[20, 1, 23, 30, 29, 19, 0, 18, 14, 16, 27, 9, 26, 4, 6, 12, 11, 5, 3, 24, 21, 2, 7, 28, 10, 17, 15, 22, 31, 13, 8, 25]",0,8192,0
7,64,101.40689080655383,76,0.0160766490153037,"[20, 1, 23, 30, 29, 25, 0, 18, 14, 16, 27, 9, 26, 4, 6, 12, 11, 5, 3, 24, 21, 2, 7, 28, 10, 17, 15, 22, 31, 13, 8, 19]",0,8192,0
8,128,82.9525720943823,149,0.026221478008665144,"[16, 1, 0, 30, 29, 25, 23, 18, 17, 10, 8, 9, 26, 5, 6, 12, 11, 4, 3, 24, 7, 2, 27, 28, 13, 14, 15, 22, 31, 20, 21, 19]",0,8192,0
9,256,71.02506993222846,285,0.046960778010543436,"[30, 24, 0, 22, 29, 25, 23, 18, 17, 10, 8, 9, 4, 5, 6, 12, 11, 26, 3, 2, 1, 7, 27, 28, 13, 14, 15, 16, 19, 21, 20, 31]",0,8192,0
10,512,61.28688943551821,549,0.1008776780217886,"[25, 24, 23, 22, 0, 21, 19, 18, 29, 27, 8, 7, 4, 5, 6, 12, 11, 26, 3, 2, 1, 9, 10, 28, 13, 14, 15, 16, 17, 30, 20, 31]",0,8192,0
11,1024,55.614318287709125,1066,0.26438469599816017,"[25, 24, 23, 22, 0, 21, 19, 30, 29, 27, 8, 7, 4, 5, 6, 9, 11, 26, 3, 2, 1, 28, 10, 12, 13, 14, 15, 16, 17, 18, 20, 31]",0,8192,0
12,2048,48.39139572944833,2098,0.8398162890225649,"[25, 24, 23, 0, 22, 21, 20, 30, 29, 28, 10, 9, 4, 5, 6, 7, 8, 26, 3, 2, 1, 27, 11, 12, 13, 14, 15, 16, 17, 18, 19, 31]",0,8192,0
13,4096,48.39139572944833,2142,0.876952673017513,"[25, 24, 23, 0, 22, 21, 20, 30, 29, 28, 10, 9, 4, 5, 6, 7, 8, 26, 3, 2, 1, 27, 11, 12, 13, 14, 15, 16, 17, 18, 19, 31]",0,8192,0
14,8192,48.39139572944833,2142,0.876952673017513,"[25, 24, 23, 0, 22, 21, 20, 30, 29, 28, 10, 9, 4, 5, 6, 7, 8, 26, 3, 2, 1, 27, 11, 12, 13, 14, 15, 16, 17, 18, 19, 31]",0,8192,0
