,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,130.83106057819353,0,0.0002595330006442964,"[20, 0, 23, 12, 29, 9, 1, 21, 14, 16, 25, 19, 10, 4, 6, 3, 27, 5, 30, 24, 17, 2, 7, 28, 26, 18, 11, 22, 31, 13, 15, 8]",geometric,0.1,0.99,0.001,0.09999973916095804,0.1,8192
1,1,123.93600263969189,2,0.0022098009940236807,"[20, 0, 23, 12, 29, 19, 1, 21, 14, 16, 25, 9, 10, 4, 6, 3, 27, 5, 30, 24, 17, 2, 7, 28, 26, 18, 11, 22, 31, 13, 15, 8]",geometric,0.1,0.99,0.001,0.09999777910044641,0.1,8192
2,2,123.93600263969189,3,0.0035942090034950525,"[20, 0, 23, 12, 29, 19, 1, 21, 14, 16, 25, 9, 10, 4, 6, 3, 27, 5, 30, 24, 17, 2, 7, 28, 26, 18, 11, 22, 31, 13, 15, 8]",geometric,0.1,0.99,0.001,0.09999638776448153,0.1,8192
3,4,122.90271518401548,6,0.0050525100086815655,"[20, 0, 23, 12, 29, 19, 1, 21, 14, 16, 25, 9, 10, 4, 6, 30, 27, 5, 3, 24, 17, 2, 7, 28, 26, 18, 11, 22, 31, 13, 15, 8]",geometric,0.1,0.99,0.001,0.09999492218667627,0.1,8192
4,8,115.23217838877883,13,0.006826846016338095,"[20, 0, 23, 12, 29, 19, 1, 21, 14, 16, 27, 9, 10, 25, 28, 30, 4, 5, 3, 24, 17, 2, 7, 6, 26, 18, 11, 22, 31, 13, 15, 8]",geometric,0.1,0.99,0.001,0.09999313902584717,0.1,8192
5,16,104.89228799877046,24,0.009044678008649498,"[20, 0, 23, 12, 29, 19, 1, 21, 31, 16, 27, 9, 10, 25, 28, 30, 4, 5, 3, 24, 17, 18, 7, 6, 26, 2, 15, 22, 14, 13, 11, 8]",geometric,0.1,0.99,0.001,0.09999091020797926,0.1,8192
6,32,101.07020110606152,43,0.012247072998434305,"[19, 0, 23, 12, 29, 20, 1, 21, 31, 8, 27, 9, 10, 25, 28, 30, 5, 4, 3, 24, 17, 18, 7, 6, 26, 2, 15, 22, 14, 13, 11, 16]",geometric,0.1,0.99,0.001,0.09998769203780616,0.1,8192
7,64,93.78565802191955,80,0.018239376018755138,"[19, 0, 23, 26, 30, 20, 18, 21, 31, 8, 27, 9, 10, 25, 22, 29, 5, 4, 3, 24, 17, 1, 7, 6, 2, 12, 15, 28, 14, 13, 11, 16]",geometric,0.1,0.99,0.001,0.09998167049458447,0.1,8192
8,128,74.19198388659443,151,0.028277136996621266,"[17, 18, 23, 29, 30, 20, 0, 21, 31, 27, 8, 9, 10, 25, 24, 26, 5, 4, 3, 22, 19, 1, 2, 6, 7, 13, 15, 28, 14, 12, 11, 16]",geometric,0.1,0.99,0.001,0.09997158456557037,0.1,8192
9,256,66.32892850871677,288,0.0518733240023721,"[17, 18, 23, 29, 30, 20, 22, 21, 19, 27, 8, 9, 10, 31, 24, 25, 2, 4, 3, 1, 0, 26, 5, 6, 7, 12, 28, 15, 14, 13, 11, 16]",geometric,0.1,0.99,0.001,0.0999478791548279,0.1,8192
10,512,52.88362701190674,553,0.10892640901147388,"[17, 18, 19, 29, 30, 20, 21, 22, 23, 31, 27, 9, 10, 11, 25, 24, 26, 4, 3, 1, 0, 2, 5, 6, 7, 8, 28, 15, 14, 12, 13, 16]",geometric,0.1,0.99,0.001,0.09989058520229986,0.1,8192
11,1024,45.30056307974577,1077,0.27850597799988464,"[17, 18, 19, 20, 30, 31, 21, 22, 23, 24, 26, 9, 10, 28, 29, 27, 25, 4, 3, 1, 0, 2, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16]",geometric,0.1,0.99,0.001,0.09972048351519432,0.1,8192
12,2048,43.812559200041264,2107,0.8508590770070441,"[17, 18, 19, 20, 30, 31, 21, 22, 23, 24, 25, 9, 10, 28, 29, 27, 26, 3, 0, 1, 2, 4, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16]",geometric,0.1,0.99,0.001,0.0991485039899186,0.1,8192
13,4096,43.182042498005465,3122,1.7289179770159535,"[17, 18, 19, 20, 30, 31, 21, 22, 23, 24, 25, 9, 10, 28, 29, 27, 26, 1, 0, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16]",geometric,0.1,0.99,0.001,0.09827738893193516,0.1,8192
